CD94*01:01:01	CD94 allele 01:01:01
CD94*01:01:02	CD94 allele 01:01:02
CD94*01:01:02	CD94 allele 01:01:02
CD94*01:01:03	CD94 allele 01:01:03
CD94*01:01:04	CD94 allele 01:01:04
CD94*01:01:05	CD94 allele 01:01:05
CD94*01:02:01	CD94 allele 01:02:01
NKG2A*01:01:01	Natural killer group 2 A allele 01:01:01
NKG2A*01:01:01	Natural killer group 2 A allele 01:01:01
NKG2A*02:01:01	Natural killer group 2 A allele 02:01:01
NKG2A*02:01:02	Natural killer group 2 A allele 02:01:02
NKG2A*02:01:03	Natural killer group 2 A allele 02:01:03
NKG2A*03:01:01	Natural killer group 2 A allele 03:01:01
NKG2A*04:01:01	Natural killer group 2 A allele 04:01:01
NKG2C1*01:01:01	Natural killer group 2 C member 1 allele 01:01:01
NKG2C1*01:01:01	Natural killer group 2 C member 1 allele 01:01:01
NKG2C1*02:01:01	Natural killer group 2 C member 1 allele 02:01:01
NKG2C1*02:02:01	Natural killer group 2 C member 1 allele 02:02:01
NKG2C1*03:01:01	Natural killer group 2 C member 1 allele 03:01:01
NKG2C1*03:02:01	Natural killer group 2 C member 1 allele 03:02:01
NKG2C1*03:03:01	Natural killer group 2 C member 1 allele 03:03:01
NKG2C2*01:01:01	Natural killer group 2 C member 2 allele 01:01:01
NKG2C2*01:01:02	Natural killer group 2 C member 2 allele 01:01:02
NKG2C2*02:01:01	Natural killer group 2 C member 2 allele 02:01:01
NKG2C2*03:01:01	Natural killer group 2 C member 2 allele 03:01:01
NKG2C2*03:01:02	Natural killer group 2 C member 2 allele 03:01:02
NKG2C2*04:01:01	Natural killer group 2 C member 2 allele 04:01:01
NKG2C3*01:01:01	Natural killer group 2 C member 3 allele 01:01:01
NKG2C3*02:01:01	Natural killer group 2 C member 3 allele 02:01:01
NKG2C3*03:01:01	Natural killer group 2 C member 3 allele 03:01:01
NKG2C3*03:02:01	Natural killer group 2 C member 3 allele 03:02:01
NKG2C3*04:01:01	Natural killer group 2 C member 3 allele 04:01:01
NKG2C3*04:02:01	Natural killer group 2 C member 3 allele 04:02:01
NKG2C3*04:02:02	Natural killer group 2 C member 3 allele 04:02:02
NKG2D*01:01:01	Natural killer group 2 D allele 01:01:01
NKG2D*01:02:01	Natural killer group 2 D allele 01:02:01
NKG2D*01:02:02	Natural killer group 2 D allele 01:02:02
NKG2D*01:02:02	Natural killer group 2 D allele 01:02:02
NKG2D*01:02:03	Natural killer group 2 D allele 01:02:03
NKG2D*01:02:04	Natural killer group 2 D allele 01:02:04
NKG2D*01:03:01	Natural killer group 2 D allele 01:03:01
NKG2F*01:01:01	Natural killer group 2 F allele 01:01:01
NKG2F*01:01:02	Natural killer group 2 F allele 01:01:02
NKG2F*01:01:02	Natural killer group 2 F allele 01:01:02
NKG2F*01:01:03	Natural killer group 2 F allele 01:01:03
NKG2F*01:01:04	Natural killer group 2 F allele 01:01:04
NKG2F*01:01:05	Natural killer group 2 F allele 01:01:05
NKG2F*01:01:06	Natural killer group 2 F allele 01:01:06
NCR1	Natural cytotoxicity triggering receptor 1
FCAR	Fc alpha receptor
LILRA8	Leukocyte immunoglobulin-like receptor A8
KIR3DL07*004_ext|CDS=NHP01009	Killer cell immunoglobulin-like receptor 3DL07*004
KIR3DSW13*001Q_ext|CDS_matches_NCBI-IPD_wrong	Killer cell immunoglobulin-like receptor 3DSW13*001Q
KIR3DSW12_nov1|CDS_98.4%_KIR3DSW12*004	Killer cell immunoglobulin-like receptor 3DSW12
KIR3DLw16*001_ext|CDS=NHP01024	Killer cell immunoglobulin-like receptor 3DLw16*001
KIR3DSW20_nov|CDS_99.2%_KIR3DSW20*002	Killer cell immunoglobulin-like receptor 3DSW20
KIR3DLW28*001_ext|CDS=NHP01031	Killer cell immunoglobulin-like receptor 3DLW28*001
KIR3DLW15*004_ext|CDS=NHP00581	Killer cell immunoglobulin-like receptor 3DLW15*004
KIR3DSW12*001_ext|CDS_matches_NCBI-IPD_truncated	Killer cell immunoglobulin-like receptor 3DSW12*001
KIR3DLW13*005_ext|CDS=NHP01019	Killer cell immunoglobulin-like receptor 3DLW13*005
KIR3DSW10*004_ext|CDS_matches_NCBI-IPD_wrong	Killer cell immunoglobulin-like receptor 3DSW10*004
KIR3DLW13*003_ext|CDS=NHP01018	Killer cell immunoglobulin-like receptor 3DLW13*003
KIR3DL11*012_ext|CDS=NHP01013	Killer cell immunoglobulin-like receptor 3DL11*012
KIR3DL07*005_ext|CDS=NHP01011	Killer cell immunoglobulin-like receptor 3DL07*005
KIR3DSW27*001_ext|CDS=NHP01046	Killer cell immunoglobulin-like receptor 3DSW27*001
KIR3DL01*001_ext|CDS=NHP01007	Killer cell immunoglobulin-like receptor 3DL01*001
KIR3DLW14*001_ext|CDS=NHP01021	Killer cell immunoglobulin-like receptor 3DLW14*001
KIR3DSW28*001_ext|CDS=NHP01047	Killer cell immunoglobulin-like receptor 3DSW28*001
KIR3DSW12_nov2|CDS_97.1%_KIR3DSW12*008	Killer cell immunoglobulin-like receptor 3DSW12
KIR3DLW13*001_ext|CDS=NHP01017	Killer cell immunoglobulin-like receptor 3DLW13*001
KIR3DLW26*001_ext|CDS=NHP01030	Killer cell immunoglobulin-like receptor 3DLW26*001
KIR3DL11*001_ext|CDS=NHP01012	Killer cell immunoglobulin-like receptor 3DL11*001
KIR3DL01*002_ext|CDS=NHP01008	Killer cell immunoglobulin-like receptor 3DL01*002
KIR3DLW13*009_ext|CDS=NHP01020	Killer cell immunoglobulin-like receptor 3DLW13*009
KIR3DLW19*001_ext|CDS=NHP01026	Killer cell immunoglobulin-like receptor 3DLW19*001
KIR3DLW14*002_ext|CDS=NHP01022	Killer cell immunoglobulin-like receptor 3DLW14*002
KIR3DLW15*001_ext|CDS=NHP01023	Killer cell immunoglobulin-like receptor 3DLW15*001
KIR3DSW24*002_ext|CDS=NHP01044	Killer cell immunoglobulin-like receptor 3DSW24*002
KIR3DL07*003:02_ext|CDS=NHP01058	Killer cell immunoglobulin-like receptor 3DL07*003:02
KIR3DSW13*002Q_ext|CDS=NHP01035	Killer cell immunoglobulin-like receptor 3DSW13*002Q
KIR3DSW24*001_ext|CDS=NHP01043	Killer cell immunoglobulin-like receptor 3DSW24*001
KIR3DSW20*001_ext|CDS=NHP01039	Killer cell immunoglobulin-like receptor 3DSW20*001
KIR3DSW22*001_ext|CDS=NHP01042	Killer cell immunoglobulin-like receptor 3DSW22*001
KIR3DSW25*001_ext|CDS=NHP01045	Killer cell immunoglobulin-like receptor 3DSW25*001
KIR3DSW17*001_ext|CDS=NHP01036	Killer cell immunoglobulin-like receptor 3DSW17*001
KIR3DLW16_nov|CDS_99.6%_KIR3DLW16*002	Killer cell immunoglobulin-like receptor 3DLW16
KIR3DL07_nov|CDS_98.8%_KIR3DL07*061	Killer cell immunoglobulin-like receptor 3DL07
KIR3DSW21*002_ext|CDS=NHP01041	Killer cell immunoglobulin-like receptor 3DSW21*002
KIR3DSW21*001_ext|CDS=NHP01040	Killer cell immunoglobulin-like receptor 3DSW21*001
KIR3DSW41_nov|CDS_99.9%_KIR3DSW41*001	Killer cell immunoglobulin-like receptor 3DSW41
KIR3DSW17*003_ext|CDS=NHP01038	Killer cell immunoglobulin-like receptor 3DSW17*003
KIR3DLW03_nov1|CDS_99.6%_KIR3DLW03*004	Killer cell immunoglobulin-like receptor 3DLW03
KIR3DLw12*001_ext|CDS=NHP01014	Killer cell immunoglobulin-like receptor 3DLw12*001
KIR3DSW15_nov|CDS_98.5%_KIR3DSW15*003	Killer cell immunoglobulin-like receptor 3DSW15
KIR3DLW25*002_ext|CDS=NHP01029	Killer cell immunoglobulin-like receptor 3DLW25*002
KIR3DLW12*002_ext|CDS_matches_NCBI-IPD_wrong	Killer cell immunoglobulin-like receptor 3DLW12*002
KIR3DLW25*001_ext|CDS=NHP01028	Killer cell immunoglobulin-like receptor 3DLW25*001
KIR3DLW16*002_ext|CDS=NHP01025	Killer cell immunoglobulin-like receptor 3DLW16*002
KIR2DL04*002:01_ext1|CDS=NHP01049	Killer cell immunoglobulin-like receptor 2DL04*002:01
KIR2DL04*001_ext1|CDS=NHP01048	Killer cell immunoglobulin-like receptor 2DL04*001
KIR3DLW03_nov2|CDS_99.6%_KIR3DLW03*004	Killer cell immunoglobulin-like receptor 3DLW03
KIR2DL04_nov2|CDS_99.7%_KIR2DL04*003	Killer cell immunoglobulin-like receptor 2DL04
KIR2DL04*003_ext|CDS=NHP01050	Killer cell immunoglobulin-like receptor 2DL04*003
KIR2DL04*001_ext2|CDS=NHP01048	Killer cell immunoglobulin-like receptor 2DL04*001
KIR2DL04_nov1|CDS_99.2%_KIR2DL04*028	Killer cell immunoglobulin-like receptor 2DL04
KIR3DLW12*003_ext|CDS=NHP01016	Killer cell immunoglobulin-like receptor 3DLW12*003
KIR2DL04*002:01_ext2|CDS=NHP01049	Killer cell immunoglobulin-like receptor 2DL04*002:01
KIRDP	Killer cell immunoglobulin-like receptor pseudogene
KIR2DL04*001_ext2|CDS=NHP01048	Killer cell immunoglobulin-like receptor 2DL04*001
KIRDP	Killer cell immunoglobulin-like receptor pseudogene
KIRDP	Killer cell immunoglobulin-like receptor pseudogene
KIRDP	Killer cell immunoglobulin-like receptor pseudogene
KIRDP	Killer cell immunoglobulin-like receptor pseudogene
KIRDP	Killer cell immunoglobulin-like receptor pseudogene
KIR1D*030Q_ext1|CDS=NHP00799	Killer cell immunoglobulin-like receptor 1D*030Q
KIR1D*025_ext|CDS=NHP01005	Killer cell immunoglobulin-like receptor 1D*025
KIR1D*030Q_ext2|CDS=NHP00799	Killer cell immunoglobulin-like receptor 1D*030Q
KIR1D*026_ext|CDS=NHP01006-splice_variant	Killer cell immunoglobulin-like receptor 1D*026
KIR1D*024_ext|CDS=NHP01004	Killer cell immunoglobulin-like receptor 1D*024
KIRDP	Killer cell immunoglobulin-like receptor pseudogene
KIRDP	Killer cell immunoglobulin-like receptor pseudogene
KIR1D*030Q_ext3|CDS=NHP00799	Killer cell immunoglobulin-like receptor 1D*030Q
KIR3DL20*002:01_ext1|CDS=NHP00528	Killer cell immunoglobulin-like receptor 3DL20*002:01
KIR3DL20_nov2|CDS_99.5%_KIR3DL20*009/015	Killer cell immunoglobulin-like receptor 3DL20
KIR3DL20*032_ext|CDS=NHP00555	Killer cell immunoglobulin-like receptor 3DL20*032
KIR3DL20_nov3|CDS_99.8%_KIR3DL20*023	Killer cell immunoglobulin-like receptor 3DL20
KIR3DL20_nov5|CDS_99.8%_KIR3DL20*002:01	Killer cell immunoglobulin-like receptor 3DL20
KIR3DL20_nov1|CDS_99.9%_KIR3DL20*028	Killer cell immunoglobulin-like receptor 3DL20
KIR3DL20_nov4|CDS_99.9%_KIR3DL20*003	Killer cell immunoglobulin-like receptor 3DL20
KIR3DL20*002:01_ext2|CDS=NHP00528	Killer cell immunoglobulin-like receptor 3DL20*002:01
LILRA8	Leukocyte immunoglobulin-like receptor A8
LILRA8	Leukocyte immunoglobulin-like receptor A8
LILRA8	Leukocyte immunoglobulin-like receptor A8
LILRA8	Leukocyte immunoglobulin-like receptor A8
LILRA8	Leukocyte immunoglobulin-like receptor A8
